datetime,forecast,Номер скважины
1992-04-11,7.982252873563219,0
1992-04-12,11.290333333333331,0
1992-04-13,12.439417624521072,0
1992-04-14,11.243862068965518,0
1992-04-15,10.570667943805873,0
1992-04-16,11.657871008939972,0
1992-04-17,11.417982545764154,0
1992-04-18,11.157467007237122,0
1992-04-19,11.21550716617,0
1992-04-20,11.411106853980415,0
1992-04-21,11.26365223972376,0
1992-04-22,11.261360342462511,0
1992-04-23,11.296755419958059,0
1992-04-24,11.312039812055561,0
1992-04-25,11.273922667381443,0
1992-04-26,11.29005185815871,0
1992-04-27,11.294239299798354,0
1992-04-28,11.292004779198571,0
1992-04-29,11.286071275112837,0
1992-04-30,11.292098645718545,0
1992-05-01,11.290771784703255,0
1992-05-02,11.290058233343318,0
1992-05-03,11.289647235178213,0
1992-05-04,11.290976221255038,0
1992-05-05,11.29015908440826,0
1992-05-06,11.290227229925522,0
1992-05-07,11.29026084694717,0
1992-05-08,11.290454178529608,0
1992-05-09,11.290215720426986,0
1992-05-10,11.2903140851341,0
1992-05-11,11.290310248634588,0
1992-05-12,11.290327994696897,0
1992-05-13,11.290280018065225,0
1992-05-14,11.290317442821861,0
1992-05-15,11.290306087132237,0
1992-05-16,11.29030848519466,0
1992-05-17,11.290301182673106,0
1992-05-18,11.29031067171625,0
1992-05-19,11.290305251666666,0
1992-05-20,11.29030677986134,0
1992-05-21,11.290305702018676,0
1992-05-22,11.290307567748085,0
1992-05-23,11.290305911182228,0
1992-05-24,11.290306683209367,0
1992-05-25,11.290306393649663,0
1992-05-26,11.290306720713227,0
1992-05-27,11.290306329347088,0
1992-05-28,11.290306599190751,0
1992-05-29,11.29030648123666,0
1992-05-30,11.290306549750355,0
1992-05-31,11.290306469924834,0
1992-06-01,11.290306543392589,0
1992-06-02,11.29030650030395,0
1992-06-03,11.290306521022593,0
1992-06-04,11.290306504540458,0
1992-06-05,11.290306521573044,0
1992-06-06,11.290306508622335,0
1992-06-07,11.290306515712032,0
1992-06-08,11.290306511578613,0
1992-06-09,11.29030651530247,0
1992-06-10,11.290306511970995,0
1992-06-11,11.290306514197704,0
1992-06-12,11.290306512950693,0
1992-06-13,11.290306513823722,0
1992-06-14,11.290306513039797,0
1992-06-15,11.290306513657372,0
1992-06-16,11.290306513271403,0
1992-06-17,11.290306513506962,0
1992-06-18,11.290306513322856,0
1992-06-19,11.290306513478578,0
1992-06-20,11.290306513367073,0
1992-06-21,11.29030651343613,0
1992-06-22,11.290306513389503,0
1992-06-23,11.29030651342726,0
1992-06-24,11.290306513397567,0
1992-06-25,11.290306513417631,0
1992-06-26,11.290306513404778,0
1992-06-27,11.290306513414153,0
1992-06-28,11.29030651340666,0
1992-06-29,11.290306513412188,0
1992-06-30,11.290306513408531,0
1992-07-01,11.290306513411002,0
1992-07-02,11.290306513409126,0
1992-07-03,11.290306513410576,0
1992-07-04,11.290306513409554,0
1992-07-05,11.290306513410235,0
1992-07-06,11.290306513409751,0
1992-07-07,11.290306513410123,0
1992-07-08,11.290306513409847,0
1992-07-09,11.290306513410036,0
1992-04-11,8.733125000000001,1
1992-04-12,9.024041666666667,1
1992-04-13,9.024041666666667,1
1992-04-14,9.163388888888889,1
1992-04-15,8.927069444444447,1
1992-04-16,9.070490740740741,1
1992-04-17,9.038166666666669,1
1992-04-18,9.053649691358027,1
1992-04-19,9.011908950617284,1
1992-04-20,9.054102366255146,1
1992-04-21,9.034575102880659,1
1992-04-22,9.039887002743486,1
1992-04-23,9.033528806584362,1
1992-04-24,9.042854823959763,1
1992-04-25,9.03599697073617,1
1992-04-26,9.038756877762538,1
1992-04-27,9.037460200426764,1
1992-04-28,9.03920289081949,1
1992-04-29,9.037404682975158,1
1992-04-30,9.03847332300293,1
1992-05-01,9.038022591407136,1
1992-05-02,9.038360298932526,1
1992-05-03,9.037966865795076,1
1992-05-04,9.03828540444753,1
1992-05-05,9.038116585378246,1
1992-05-06,9.038204189725043,1
1992-05-07,9.038122951873618,1
1992-05-08,9.038202059850272,1
1992-05-09,9.038147908992302,1
1992-05-10,9.038176400482977,1
1992-05-11,9.03815764023873,1
1992-05-12,9.03817545644185,1
1992-05-13,9.03816064990467,1
1992-05-14,9.038169832387851,1
1992-05-15,9.038164582195082,1
1992-05-16,9.03816864624479,1
1992-05-17,9.038165021495866,1
1992-05-18,9.038167686942574,1
1992-05-19,9.038166083311912,1
1992-05-20,9.038167118227742,1
1992-05-21,9.038166263916784,1
1992-05-22,9.03816696282741,1
1992-05-23,9.03816648848548,1
1992-05-24,9.038166781657312,1
1992-05-25,9.038166571743224,1
1992-05-26,9.0381667443234,1
1992-05-27,9.038166613962005,1
1992-05-28,9.03816669924131,1
1992-05-29,9.038166643342876,1
1992-05-30,9.038166685842237,1
1992-05-31,9.038166652182063,1
1992-06-01,9.03816667614214,1
1992-06-02,9.038166660455724,1
1992-06-03,9.038166671388813,1
1992-06-04,9.038166662926642,1
1992-06-05,9.038166669328893,1
1992-06-06,9.038166664923727,1
1992-06-07,9.03816666788145,1
1992-06-08,9.038166665726422,1
1992-06-09,9.038166667378023,1
1992-06-10,9.038166666177199,1
1992-06-11,9.038166666995297,1
1992-06-12,9.038166666427214,1
1992-06-13,9.038166666850174,1
1992-06-14,9.038166666533236,1
1992-06-15,9.038166666757562,1
1992-06-16,9.038166666603543,1
1992-06-17,9.038166666713657,1
1992-06-18,9.038166666631447,1
1992-06-19,9.038166666691588,1
1992-06-20,9.03816666664955,1
1992-06-21,9.038166666678897,1
1992-06-22,9.03816666665753,1
1992-06-23,9.038166666673346,1
1992-06-24,9.038166666661994,1
1992-06-25,9.038166666669925,1
1992-06-26,9.03816666666429,1
1992-06-27,9.038166666668422,1
1992-06-28,9.038166666665402,1
1992-06-29,9.038166666667545,1
1992-06-30,9.038166666666038,1
1992-07-01,9.038166666667124,1
1992-07-02,9.038166666666328,1
1992-07-03,9.038166666666902,1
1992-07-04,9.038166666666497,1
1992-07-05,9.038166666666784,1
1992-07-06,9.038166666666577,1
1992-07-07,9.038166666666728,1
1992-07-08,9.03816666666662,1
1992-07-09,9.038166666666696,1
1992-04-11,14.456000000000001,2
1992-04-12,14.560111111111112,2
1992-04-13,14.316777777777778,2
1992-04-14,14.495481481481482,2
1992-04-15,14.444296296296299,2
1992-04-16,14.457456790123459,2
1992-04-17,14.418851851851853,2
1992-04-18,14.46574485596708,2
1992-04-19,14.440201646090538,2
1992-04-20,14.447351165980798,2
1992-04-21,14.441599451303157,2
1992-04-22,14.451099222679472,2
1992-04-23,14.443050754458163,2
1992-04-24,14.446683279987809,2
1992-04-25,14.445249809480265,2
1992-04-26,14.446944419041815,2
1992-04-27,14.444994614642079,2
1992-04-28,14.446292502836629,2
1992-04-29,14.445729614388052,2
1992-04-30,14.446077178840175,2
1992-05-01,14.445672243955586,2
1992-05-02,14.446033098688284,2
1992-05-03,14.445826345727937,2
1992-05-04,14.445927507161349,2
1992-05-05,14.445843896123938,2
1992-05-06,14.44592898385919,2
1992-05-07,14.445865916337743,2
1992-05-08,14.44590012904816,2
1992-05-09,14.445879598773624,2
1992-05-10,14.4458983430817,2
1992-05-11,14.44588188138651,2
1992-05-12,14.445892690301163,2
1992-05-13,14.445886607747278,2
1992-05-14,14.44589097158979,2
1992-05-15,14.445887059811652,2
1992-05-16,14.445890089879411,2
1992-05-17,14.445888213049573,2
1992-05-18,14.445889373760286,2
1992-05-19,14.445888454246878,2
1992-05-20,14.445889225563091,2
1992-05-21,14.445888680352246,2
1992-05-22,14.445889017856752,2
1992-05-23,14.445888786720738,2
1992-05-24,14.445888974590696,2
1992-05-25,14.445888828309911,2
1992-05-26,14.445888926389395,2
1992-05-27,14.445888863207117,2
1992-05-28,14.445888909763333,2
1992-05-29,14.445888872635473,2
1992-05-30,14.445888899786615,2
1992-05-31,14.44588888186864,2
1992-06-01,14.445888894061808,2
1992-06-02,14.445888884763576,2
1992-06-03,14.445888891905689,2
1992-06-04,14.44588888689801,2
1992-06-05,14.445888890243692,2
1992-06-06,14.445888887855759,2
1992-06-07,14.445888889682465,2
1992-06-08,14.445888888332485,2
1992-06-09,14.445888889260639,2
1992-06-10,14.44588888862357,2
1992-06-11,14.445888889091862,2
1992-06-12,14.445888888738898,2
1992-06-13,14.445888888992023,2
1992-06-14,14.44588888881811,2
